Well_ID,Well_Name,X_UTM_m,Y_UTM_m,CRS_EPSG,Field,Block,Quadrant,Trajectory,Status,Completion_Type,Spud_Date,Completion_Date,KB_Elevation_m,Water_Depth_m,Top_Reservoir_TVDSS_m,Gross_Thickness_m,Net_to_Gross_frac,NetPay_m,Porosity_frac,Permeability_mD,Water_Saturation_frac,Oil_Saturation_frac,Gas_Saturation_frac,Total_Depth_MD_m,Total_Depth_TVDSS_m,Deviation_Azimuth_deg,Max_Inclination_deg,Lateral_Length_m,Distance_to_Nearest_Fault_m,Nearest_Fault_ID,Reservoir_Quality_Index
KW-0272,Kimbala-0272,515689.58,776122.94,32632,Kimbala,B01-05,SE,Deviated,Appraisal,Suspended,2020-07-11,2020-08-10,136.9,24.6,2847.1,51.5,0.435,22.2,0.117,14.3,0.674,0.28,0.046,3181.1,3181.1,310.3,37.6,930.9,2770.5,F05,35.5
KW-0273,Kimbala-0273,504703.57,785817.35,32632,Kimbala,B03-03,NW,Vertical,Appraisal,Suspended,2018-05-09,2018-09-26,136.2,31.2,2525.4,63.5,0.399,25.7,0.149,101.2,0.649,0.316,0.035,3102.8,3102.8,,0.9,0.0,4623.4,F04,48.1
KW-0274,Kimbala-0274,518534.39,773510.67,32632,Kimbala,B01-05,SE,Vertical,DryHole,Dry,2023-10-17,2024-01-14,130.3,37.4,2903.9,46.2,0.388,16.0,0.131,13.2,0.645,0.396,0.0,3436.1,3436.1,,-0.3,0.0,707.0,F06,36.3
KW-0275,Kimbala-0275,513277.85,778097.62,32632,Kimbala,B02-04,SE,Horizontal,DryHole,Dry,2023-01-14,2023-03-06,159.8,36.2,2772.2,24.5,0.384,8.4,0.127,12.4,0.546,0.404,0.05,3899.9,3601.5,202.1,82.7,972.0,73.8,F05,33.5
KW-0276,Kimbala-0276,504943.52,779320.75,32632,Kimbala,B02-03,SW,Vertical,Abandoned,Plugged,2022-12-20,2023-03-03,142.0,3.8,2657.6,68.9,0.332,21.3,0.138,84.0,0.428,0.504,0.068,3216.3,3216.3,,3.7,0.0,2592.8,F04,44.4
KW-0277,Kimbala-0277,503633.18,791464.7,32632,Kimbala,B04-03,NW,Vertical,DryHole,Dry,2023-12-23,2024-04-20,134.0,3.7,2474.1,60.1,0.603,39.0,0.16,31.3,0.474,0.45,0.076,3144.0,3144.0,,1.7,0.0,7190.7,F04,49.9
KW-0278,Kimbala-0278,501351.36,787157.37,32632,Kimbala,B03-02,NW,Vertical,Appraisal,Suspended,2023-02-03,2023-04-03,150.4,37.4,2522.5,66.0,0.361,22.2,0.187,54.2,0.442,0.503,0.055,3380.0,3380.0,,5.2,0.0,5091.4,F03,52.2
KW-0279,Kimbala-0279,508324.49,789902.1,32632,Kimbala,B04-04,NW,Vertical,DryHole,Dry,2017-10-10,2017-11-21,141.5,38.6,2508.1,63.0,0.425,28.7,0.162,15.8,0.573,0.355,0.072,2966.1,2966.1,,5.4,0.0,2275.6,F04,45.7
KW-0280,Kimbala-0280,526281.79,791846.39,32632,Kimbala,B04-07,NE,Vertical,Appraisal,Suspended,2021-04-07,2021-05-05,155.6,54.7,2467.6,51.5,0.434,20.0,0.151,10.7,0.604,0.38,0.016,3058.0,2985.4,,2.4,0.0,3706.5,F06,40.3
KW-0281,Kimbala-0281,499992.9,787966.49,32632,Kimbala,B03-02,NW,Vertical,Appraisal,Suspended,2020-05-17,2020-08-24,151.7,11.0,2514.2,60.4,0.418,22.3,0.176,31.0,0.346,0.622,0.032,2985.2,2985.2,,2.0,0.0,3728.4,F03,48.6
KW-0282,Kimbala-0282,491776.2,785180.98,32632,Kimbala,B03-01,NW,Vertical,Appraisal,Suspended,2022-11-18,2022-12-20,170.5,69.4,2653.4,45.1,0.345,15.4,0.12,20.8,0.497,0.44,0.063,3080.9,3080.9,,3.8,0.0,254.2,F02,35.4
KW-0283,Kimbala-0283,513031.96,780606.11,32632,Kimbala,B02-04,SE,Deviated,Appraisal,Suspended,2018-06-12,2018-11-03,145.2,25.2,2658.5,68.1,0.537,29.0,0.17,71.2,0.44,0.536,0.025,3063.4,3063.4,295.0,44.9,1184.4,978.9,F05,51.7
KW-0284,Kimbala-0284,519815.72,774182.26,32632,Kimbala,B01-06,SE,Deviated,Producer,Oil,2021-02-28,2021-05-04,137.2,45.4,2854.2,40.1,0.319,12.8,0.075,7.0,0.413,0.562,0.025,3285.4,3285.4,17.0,26.9,844.7,1647.0,F06,23.4
KW-0285,Kimbala-0285,509082.13,790599.98,32632,Kimbala,B04-04,NW,Vertical,Producer,Oil,2014-04-21,2014-07-05,143.8,36.4,2542.1,56.6,0.207,10.8,0.105,11.2,0.555,0.415,0.03,2883.6,2883.6,,3.4,0.0,1681.8,F04,29.7
KW-0286,Kimbala-0286,506717.96,778127.33,32632,Kimbala,B02-03,SW,Deviated,DryHole,Dry,2020-04-14,2020-07-07,145.9,51.0,2782.4,73.3,0.377,21.7,0.121,22.5,0.649,0.337,0.015,3297.0,3297.0,37.3,36.0,669.4,557.2,F04,37.3
KW-0287,Kimbala-0287,521693.77,793732.63,32632,Kimbala,B04-06,NE,Vertical,Abandoned,Plugged,2024-01-09,2024-03-03,151.2,25.7,2524.1,41.2,0.294,11.0,0.138,18.5,0.637,0.328,0.034,3181.7,3181.7,,5.3,0.0,1160.9,F06,37.3
KW-0288,Kimbala-0288,516845.47,778853.77,32632,Kimbala,B02-05,SE,Deviated,Producer,Oil,2020-09-23,2020-11-27,138.1,58.5,2725.1,48.5,0.239,12.0,0.108,12.3,0.607,0.346,0.047,3320.8,3320.8,193.1,46.0,941.7,2846.6,F06,30.8
KW-0289,Kimbala-0289,512774.28,781360.39,32632,Kimbala,B02-04,SE,Horizontal,Appraisal,Suspended,2022-06-01,2022-07-28,155.4,45.2,2636.2,54.8,0.513,28.8,0.149,123.1,0.478,0.497,0.024,5088.0,3544.8,4.5,80.4,2811.6,1428.1,F05,49.4
KW-0290,Kimbala-0290,507153.6,776398.4,32632,Kimbala,B01-03,SW,Vertical,Abandoned,Plugged,2019-03-26,2019-06-08,127.0,65.2,2806.4,61.9,0.396,20.5,0.115,9.1,0.758,0.169,0.074,3380.8,3299.6,,5.5,0.0,340.5,F04,33.4
KW-0291,Kimbala-0291,510890.79,795807.54,32632,Kimbala,B05-04,NE,Vertical,Producer,Oil+Gas,2016-08-10,2016-12-25,162.0,32.3,2529.0,54.1,0.311,15.0,0.161,12.5,0.552,0.383,0.065,3124.7,3124.7,,2.1,0.0,1009.1,F04,41.4
KW-0292,Kimbala-0292,518308.02,793934.26,32632,Kimbala,B04-05,NE,Vertical,Producer,Oil+Gas,2016-09-20,2016-11-02,122.0,16.5,2525.6,63.8,0.472,30.8,0.126,8.9,0.687,0.29,0.023,2922.2,2922.2,,0.7,0.0,557.2,F05,37.9
KW-0293,Kimbala-0293,515445.88,790709.3,32632,Kimbala,B04-05,NE,Vertical,Injector,WaterInjector,2016-08-30,2016-09-28,131.7,56.2,2510.5,57.9,0.335,17.6,0.14,8.0,0.608,0.355,0.038,3103.0,3103.0,,3.5,0.0,1342.8,F05,36.8
KW-0294,Kimbala-0294,522866.55,778219.49,32632,Kimbala,B02-06,SE,Vertical,DryHole,Dry,2020-03-22,2020-07-27,144.1,36.4,2779.2,55.8,0.262,12.5,0.09,7.5,0.472,0.504,0.024,3102.5,3102.5,,3.8,0.0,3012.0,F06,26.3
KW-0295,Kimbala-0295,508845.72,777416.43,32632,Kimbala,B02-04,SW,Horizontal,Injector,WaterInjector,2019-11-12,2019-12-22,168.1,49.0,2770.4,68.4,0.483,31.2,0.15,19.5,0.515,0.429,0.056,4189.9,3522.6,196.7,91.4,1239.5,1684.2,F04,44.7
KW-0296,Kimbala-0296,511905.78,797008.03,32632,Kimbala,B05-04,NE,Vertical,Producer,Gas,2017-10-05,2018-02-18,152.1,39.1,2482.6,25.1,0.267,5.8,0.143,6.7,0.724,0.221,0.055,3015.7,3015.7,,3.9,0.0,269.4,F04,34.0
KW-0297,Kimbala-0297,508252.93,795499.87,32632,Kimbala,B05-04,NW,Vertical,DryHole,Dry,2018-10-14,2018-12-29,137.3,0.0,2503.5,66.0,0.45,25.9,0.136,24.9,0.517,0.432,0.051,3099.9,3099.9,,3.5,0.0,3523.2,F04,41.5
KW-0298,Kimbala-0298,513009.63,777664.74,32632,Kimbala,B02-04,SE,Deviated,Injector,WaterInjector,2015-06-12,2015-10-24,170.1,49.7,2791.8,30.6,0.439,10.0,0.113,18.9,0.595,0.4,0.005,3290.0,3290.0,287.3,27.5,577.1,219.3,F05,32.5
KW-0299,Kimbala-0299,516907.53,780765.01,32632,Kimbala,B02-05,SE,Deviated,Producer,Oil,2022-06-24,2022-08-04,143.4,72.0,2672.5,63.5,0.506,28.6,0.146,33.8,0.456,0.504,0.04,3112.6,3112.6,74.8,33.9,444.5,2714.4,F05,45.0
KW-0300,Kimbala-0300,518017.36,773018.47,32632,Kimbala,B01-05,SE,Deviated,DryHole,Dry,2016-10-23,2017-01-09,148.9,24.4,2899.6,47.4,0.422,17.0,0.128,13.2,0.569,0.348,0.084,3536.2,3536.2,198.9,39.7,975.3,409.9,F06,35.9
KW-0301,Kimbala-0301,502059.42,786397.91,32632,Kimbala,B03-03,NW,Horizontal,DryHole,Dry,2022-08-12,2023-03-08,141.7,66.0,2553.7,48.5,0.489,19.6,0.168,79.0,0.451,0.448,0.101,4822.7,3232.7,34.6,89.7,2606.0,5803.8,F03,49.3
KW-0302,Kimbala-0302,520587.79,780168.96,32632,Kimbala,B02-06,SE,Deviated,DryHole,Dry,2019-09-01,2019-12-12,140.4,29.1,2675.7,55.7,0.314,16.9,0.122,10.4,0.574,0.417,0.009,3103.6,3103.6,176.4,33.3,940.7,395.3,F06,34.1
KW-0303,Kimbala-0303,514164.03,796175.29,32632,Kimbala,B05-05,NE,Vertical,DryHole,Dry,2017-11-29,2018-01-30,138.0,51.9,2530.9,52.6,0.497,22.4,0.143,15.1,0.561,0.402,0.037,3073.0,3073.0,,6.9,0.0,2113.5,F04,40.4
KW-0304,Kimbala-0304,513773.22,777748.0,32632,Kimbala,B02-05,SE,Vertical,Producer,Oil,2023-06-24,2023-09-04,162.7,29.1,2744.5,40.5,0.384,15.5,0.158,24.0,0.528,0.443,0.029,3215.9,3215.9,,6.6,0.0,496.0,F05,42.8
KW-0305,Kimbala-0305,510385.57,797673.41,32632,Kimbala,B05-04,NE,Vertical,Appraisal,Suspended,2023-07-16,2023-08-12,155.3,20.0,2482.7,28.0,0.545,12.8,0.134,13.3,0.716,0.238,0.045,2895.9,2895.9,,3.3,0.0,1895.6,F04,36.0
KW-0306,Kimbala-0306,503439.85,792823.21,32632,Kimbala,B04-03,NW,Deviated,Producer,Oil,2021-11-29,2022-02-03,155.4,43.4,2477.7,67.4,0.621,35.4,0.116,25.3,0.574,0.356,0.07,3023.3,3023.3,231.4,21.2,1197.2,6749.2,F03,40.3
KW-0307,Kimbala-0307,505435.94,784715.64,32632,Kimbala,B03-03,SW,Horizontal,Producer,Oil+Gas,2017-02-16,2017-07-23,168.5,9.8,2558.8,58.0,0.51,25.3,0.13,58.3,0.485,0.45,0.065,3708.1,3520.9,162.6,84.1,1068.7,3614.5,F04,42.7
KW-0308,Kimbala-0308,514226.93,795828.18,32632,Kimbala,B05-05,NE,Horizontal,DryHole,Dry,2020-09-10,2020-12-07,154.2,41.3,2542.7,48.1,0.388,17.6,0.097,7.9,0.617,0.36,0.022,5003.4,3294.1,162.9,79.8,2726.1,2248.0,F04,28.9
KW-0309,Kimbala-0309,528123.34,792853.83,32632,Kimbala,B04-07,NE,Deviated,Producer,Oil,2023-12-24,2024-04-08,156.2,51.5,2452.9,49.2,0.333,15.4,0.114,7.4,0.531,0.423,0.046,3092.5,3032.6,8.6,37.3,421.9,2782.4,F07,31.3
KW-0310,Kimbala-0310,506053.09,783064.32,32632,Kimbala,B02-03,SW,Horizontal,Injector,WaterInjector,2022-05-13,2022-07-28,131.0,35.1,2587.3,50.5,0.429,18.2,0.161,36.2,0.65,0.277,0.073,5000.7,3184.7,13.4,85.0,2850.6,2564.0,F04,45.2
KW-0311,Kimbala-0311,518516.8,777912.17,32632,Kimbala,B02-05,SE,Vertical,Producer,Oil,2018-01-12,2018-03-18,138.8,23.3,2752.0,45.6,0.416,16.6,0.141,13.3,0.471,0.463,0.066,3320.3,3126.3,,2.1,0.0,945.0,F06,38.3
KW-0312,Kimbala-0312,494077.4,781181.16,32632,Kimbala,B02-01,SW,Vertical,DryHole,Dry,2022-03-09,2022-07-13,140.0,33.5,2677.0,45.5,0.463,18.3,0.096,7.1,0.544,0.398,0.058,3210.7,3210.7,,-0.3,0.0,2148.2,F03,28.7
KW-0313,Kimbala-0313,500966.21,779535.61,32632,Kimbala,B02-02,SW,Vertical,DryHole,Dry,2023-02-09,2023-06-18,131.3,22.4,2692.9,72.4,0.467,26.0,0.144,15.2,0.684,0.291,0.025,3571.6,3571.6,,5.9,0.0,4749.9,F03,41.5
KW-0314,Kimbala-0314,506443.05,782019.38,32632,Kimbala,B02-03,SW,Deviated,Producer,Oil,2024-02-04,2024-04-16,149.6,74.3,2643.1,55.4,0.675,35.7,0.162,73.7,0.591,0.355,0.053,3150.8,3075.7,258.2,46.1,1119.2,1899.7,F04,52.1
KW-0315,Kimbala-0315,516258.98,777333.03,32632,Kimbala,B02-05,SE,Vertical,Producer,Oil,2019-07-11,2019-09-21,148.5,35.5,2786.1,57.4,0.372,19.8,0.149,9.9,0.728,0.22,0.051,3191.3,3191.3,,4.7,0.0,2825.9,F06,39.7
KW-0316,Kimbala-0316,526793.54,793363.79,32632,Kimbala,B04-07,NE,Deviated,DryHole,Dry,2022-09-26,2022-11-05,139.0,19.1,2453.9,47.5,0.503,22.7,0.136,11.9,0.494,0.433,0.073,3046.1,3046.1,189.2,41.9,993.9,3913.0,F06,38.6
KW-0317,Kimbala-0317,493256.54,782957.76,32632,Kimbala,B02-01,SW,Vertical,Producer,Oil,2020-11-17,2021-03-02,144.3,26.2,2667.0,47.7,0.392,17.5,0.124,7.6,0.551,0.396,0.053,3075.1,3075.1,,1.4,0.0,1115.9,F01,33.8
KW-0318,Kimbala-0318,507987.43,788483.84,32632,Kimbala,B03-04,NW,Vertical,Abandoned,Plugged,2016-05-19,2016-07-25,164.8,49.9,2538.7,53.6,0.448,22.4,0.129,12.4,0.617,0.304,0.079,3048.9,3048.9,,1.8,0.0,2207.0,F04,37.4
KW-0319,Kimbala-0319,515089.81,788323.71,32632,Kimbala,B03-05,NE,Horizontal,Abandoned,Plugged,2021-04-24,2021-09-20,131.6,11.9,2524.9,58.6,0.375,17.9,0.143,22.1,0.4,0.52,0.08,4357.7,3496.3,137.0,90.7,1859.3,1050.7,F05,40.5
KW-0320,Kimbala-0320,509752.34,777683.39,32632,Kimbala,B02-04,SW,Vertical,Abandoned,Plugged,2017-08-18,2017-10-06,127.6,10.5,2756.1,41.5,0.428,16.9,0.147,28.2,0.551,0.397,0.051,3296.5,3296.5,,-0.5,0.0,2481.4,F04,41.6
KW-0321,Kimbala-0321,496651.63,777396.02,32632,Kimbala,B02-02,SW,Deviated,Appraisal,Suspended,2017-05-27,2017-07-30,126.4,62.1,2805.4,43.7,0.416,16.3,0.152,9.5,0.607,0.355,0.037,3127.2,3127.2,203.0,25.5,1077.7,447.6,F03,39.3
KW-0322,Kimbala-0322,503416.99,772806.44,32632,Kimbala,B01-03,SW,Deviated,Abandoned,Plugged,2018-03-02,2018-06-24,154.7,70.8,2930.7,54.7,0.434,20.3,0.135,14.1,0.534,0.394,0.072,3556.3,3556.3,121.7,53.9,436.3,2254.6,F04,38.2
KW-0323,Kimbala-0323,496549.03,782355.61,32632,Kimbala,B02-02,SW,Deviated,Abandoned,Plugged,2024-04-23,2024-06-29,140.6,52.0,2643.3,21.6,0.307,6.5,0.126,23.2,0.759,0.201,0.04,3415.3,3301.2,109.0,27.0,811.2,316.6,F03,34.6
KW-0324,Kimbala-0324,519321.81,790814.95,32632,Kimbala,B04-05,NE,Vertical,Injector,WaterInjector,2020-10-22,2021-01-21,140.3,39.0,2552.4,47.7,0.437,20.0,0.14,9.4,0.594,0.34,0.066,2914.7,2914.7,,5.5,0.0,2365.0,F05,37.9
KW-0325,Kimbala-0325,498518.86,777490.03,32632,Kimbala,B02-02,SW,Vertical,Producer,Gas,2023-05-24,2023-08-05,150.8,45.6,2777.0,36.3,0.415,13.1,0.129,19.6,0.554,0.41,0.036,3344.9,3344.9,,0.7,0.0,2314.2,F03,36.2
KW-0326,Kimbala-0326,510698.8,787906.16,32632,Kimbala,B03-04,NE,Deviated,Producer,Gas,2019-09-28,2020-01-19,135.6,26.7,2514.3,26.5,0.456,11.1,0.125,8.1,0.749,0.216,0.035,3054.8,3054.8,318.2,51.9,1165.0,558.3,F04,32.5
KW-0327,Kimbala-0327,512378.93,773755.84,32632,Kimbala,B01-04,SE,Vertical,Abandoned,Plugged,2021-06-12,2021-07-14,160.9,48.2,2896.2,52.4,0.374,17.9,0.122,3.8,0.705,0.22,0.075,3304.9,3249.2,,5.5,0.0,193.6,F05,31.7
KW-0328,Kimbala-0328,521320.18,789664.24,32632,Kimbala,B04-06,NE,Vertical,Appraisal,Suspended,2022-12-10,2023-01-23,152.0,27.6,2540.4,58.9,0.38,20.0,0.129,52.1,0.514,0.449,0.037,2859.5,2859.5,,3.2,0.0,735.2,F06,41.0
KW-0329,Kimbala-0329,511239.84,773628.85,32632,Kimbala,B01-04,SE,Vertical,Appraisal,Suspended,2019-08-23,2019-10-16,152.7,78.7,2912.2,48.7,0.307,15.0,0.133,5.1,0.581,0.405,0.014,3067.7,3067.7,,0.5,0.0,872.7,F05,33.8
KW-0330,Kimbala-0330,505690.12,781690.96,32632,Kimbala,B02-03,SW,Horizontal,Producer,Oil,2024-07-12,2024-10-01,143.5,55.4,2605.6,76.0,0.543,30.4,0.177,73.5,0.554,0.422,0.024,4317.5,3465.1,241.2,81.6,1388.2,2532.2,F04,53.5
KW-0331,Kimbala-0331,499895.07,791588.13,32632,Kimbala,B04-02,NW,Horizontal,DryHole,Dry,2021-11-04,2022-05-01,170.4,19.2,2488.5,70.1,0.526,36.2,0.158,12.7,0.434,0.537,0.03,4981.4,3475.0,249.3,79.3,3050.7,3609.9,F03,46.2
KW-0332,Kimbala-0332,509097.12,773461.22,32632,Kimbala,B01-04,SW,Deviated,Producer,Oil+Gas,2017-01-20,2017-03-27,147.8,20.3,2905.2,47.9,0.433,18.1,0.129,6.3,0.653,0.298,0.049,3311.4,3311.4,60.9,45.5,551.9,2897.1,F05,34.3
KW-0333,Kimbala-0333,498352.94,790454.83,32632,Kimbala,B04-02,NW,Vertical,Injector,WaterInjector,2022-08-29,2022-12-08,150.5,0.0,2498.3,56.0,0.436,22.6,0.133,16.1,0.499,0.47,0.031,2969.6,2969.6,,-0.8,0.0,2074.2,F03,38.9
KW-0334,Kimbala-0334,509068.7,784735.7,32632,Kimbala,B03-04,SW,Vertical,Producer,Oil,2021-01-26,2021-05-09,124.1,54.4,2565.4,51.0,0.406,20.3,0.131,143.0,0.617,0.302,0.082,3163.0,3075.9,,2.9,0.0,129.5,F04,44.6
KW-0335,Kimbala-0335,512859.12,794445.57,32632,Kimbala,B04-04,NE,Deviated,Appraisal,Suspended,2021-12-10,2022-01-23,159.8,47.6,2542.6,38.3,0.369,14.7,0.108,5.0,0.748,0.166,0.086,3082.8,3082.8,9.5,35.8,994.8,1201.7,F04,29.1
KW-0336,Kimbala-0336,503326.73,790306.89,32632,Kimbala,B04-03,NW,Horizontal,Producer,Oil,2017-07-27,2017-12-28,136.8,32.2,2511.6,71.4,0.665,44.5,0.177,71.9,0.653,0.225,0.122,4244.2,3513.8,358.7,82.2,1579.1,7048.8,F03,57.0
KW-0337,Kimbala-0337,511819.52,778709.38,32632,Kimbala,B02-04,SE,Vertical,DryHole,Dry,2020-12-13,2021-03-23,145.6,30.6,2738.6,37.4,0.31,10.9,0.15,62.1,0.51,0.396,0.094,3383.7,3383.7,,2.0,0.0,1642.4,F05,43.1
KW-0338,Kimbala-0338,524013.65,793676.48,32632,Kimbala,B04-06,NE,Vertical,Abandoned,Plugged,2023-03-24,2023-06-27,119.4,40.8,2462.6,50.7,0.414,17.9,0.108,7.3,0.6,0.354,0.046,2976.0,2976.0,,4.2,0.0,1125.5,F06,30.9
KW-0339,Kimbala-0339,515432.96,795176.46,32632,Kimbala,B05-05,NE,Deviated,Producer,Oil,2020-03-26,2020-08-06,177.9,18.4,2521.3,55.2,0.225,12.2,0.121,5.3,0.679,0.271,0.049,3172.4,3107.6,179.4,54.2,1155.0,2544.9,F05,30.9
KW-0340,Kimbala-0340,523571.88,791163.24,32632,Kimbala,B04-06,NE,Deviated,Appraisal,Suspended,2022-07-20,2022-10-25,141.8,12.7,2511.5,54.8,0.328,16.6,0.138,23.6,0.454,0.477,0.069,3185.4,3185.4,152.4,41.6,640.4,1181.5,F06,39.3
KW-0341,Kimbala-0341,522391.79,790855.9,32632,Kimbala,B04-06,NE,Vertical,Appraisal,Suspended,2020-03-09,2020-05-14,135.2,17.6,2531.0,38.7,0.42,15.5,0.14,14.2,0.775,0.193,0.032,3047.8,3047.8,,3.5,0.0,83.9,F06,38.0
KW-0342,Kimbala-0342,516278.22,788630.57,32632,Kimbala,B03-05,NE,Horizontal,Appraisal,Suspended,2018-10-25,2019-05-15,134.6,21.2,2532.3,25.3,0.303,6.0,0.146,29.4,0.672,0.26,0.068,4075.3,3366.2,208.1,78.7,1412.8,13.1,F05,38.8
KW-0343,Kimbala-0343,519106.61,775649.82,32632,Kimbala,B01-05,SE,Horizontal,Producer,Oil,2022-12-27,2023-05-11,145.5,38.4,2832.4,52.3,0.348,14.6,0.123,23.6,0.602,0.38,0.019,4973.1,3735.5,323.8,85.3,2014.1,443.3,F06,36.1
KW-0344,Kimbala-0344,524100.98,795776.44,32632,Kimbala,B05-06,NE,Horizontal,DryHole,Dry,2022-05-22,2022-12-22,147.0,58.6,2500.6,21.9,0.473,9.9,0.129,4.6,0.55,0.435,0.015,4122.6,3187.1,26.5,85.0,1986.4,802.2,F06,31.4
KW-0345,Kimbala-0345,494794.31,780630.8,32632,Kimbala,B02-01,SW,Vertical,DryHole,Dry,2020-05-17,2020-08-15,151.5,36.7,2720.0,60.1,0.455,25.3,0.127,9.7,0.644,0.3,0.056,3171.6,3171.6,,4.2,0.0,1428.2,F03,37.0
KW-0346,Kimbala-0346,518747.75,775710.63,32632,Kimbala,B01-05,SE,Vertical,DryHole,Dry,2017-10-13,2018-01-25,127.8,37.4,2836.5,32.0,0.387,10.4,0.151,19.1,0.613,0.35,0.037,3379.0,3379.0,,4.5,0.0,87.5,F06,39.6
KW-0347,Kimbala-0347,521649.52,794655.89,32632,Kimbala,B04-06,NE,Deviated,DryHole,Dry,2020-11-26,2021-04-06,148.8,12.4,2529.5,59.3,0.391,20.9,0.128,8.1,0.465,0.518,0.017,2930.0,2930.0,155.3,33.3,888.3,1384.1,F06,35.5
KW-0348,Kimbala-0348,500958.38,788583.04,32632,Kimbala,B03-02,NW,Vertical,Injector,WaterInjector,2017-04-08,2017-07-30,148.5,8.5,2510.2,64.1,0.349,21.2,0.168,100.1,0.718,0.22,0.063,3016.6,3016.6,,-0.2,0.0,4690.3,F03,50.4
KW-0349,Kimbala-0349,499897.01,789064.98,32632,Kimbala,B03-02,NW,Vertical,Appraisal,Suspended,2018-01-23,2018-05-19,151.9,31.7,2509.7,67.3,0.446,24.1,0.169,26.4,0.533,0.408,0.06,3081.6,3031.6,,3.3,0.0,3626.2,F03,47.3
KW-0350,Kimbala-0350,510816.14,793180.38,32632,Kimbala,B04-04,NE,Vertical,DryHole,Dry,2024-10-28,2024-12-31,157.3,31.8,2512.7,53.1,0.491,21.6,0.113,4.8,0.608,0.325,0.067,2972.1,2971.2,,6.5,0.0,529.4,F04,31.6
KW-0351,Kimbala-0351,503095.35,789025.93,32632,Kimbala,B03-03,NW,Vertical,DryHole,Dry,2019-12-30,2020-02-29,149.3,32.9,2514.6,61.6,0.412,22.6,0.169,81.9,0.533,0.393,0.073,3118.9,3118.9,,4.7,0.0,6824.7,F03,50.4
KW-0352,Kimbala-0352,526297.33,790585.4,32632,Kimbala,B04-07,NE,Deviated,DryHole,Dry,2017-01-30,2017-03-13,134.9,12.5,2484.1,67.6,0.487,30.7,0.134,16.1,0.647,0.286,0.068,2962.4,2962.4,348.2,22.5,750.6,3928.2,F07,41.0
KW-0353,Kimbala-0353,517370.64,773074.75,32632,Kimbala,B01-05,SE,Deviated,DryHole,Dry,2015-03-08,2015-06-23,150.5,32.7,2936.2,20.8,0.295,5.6,0.117,6.3,0.657,0.311,0.031,3373.8,3338.2,254.7,45.7,592.6,211.4,F06,28.9
KW-0354,Kimbala-0354,512460.16,780934.55,32632,Kimbala,B02-04,SE,Deviated,Producer,Oil,2022-03-16,2022-06-07,139.7,51.8,2662.0,85.1,0.502,38.6,0.169,411.2,0.631,0.298,0.071,3087.6,3087.6,30.5,40.1,835.2,1617.5,F05,59.3
KW-0355,Kimbala-0355,513970.11,772464.98,32632,Kimbala,B01-05,SE,Deviated,Abandoned,Plugged,2018-03-04,2018-04-30,138.9,47.7,2938.8,70.2,0.595,36.2,0.138,26.8,0.67,0.259,0.072,3240.4,3240.4,85.2,25.0,667.9,2066.9,F05,44.7
KW-0356,Kimbala-0356,527530.76,792328.35,32632,Kimbala,B04-07,NE,Horizontal,Appraisal,Suspended,2023-10-09,2024-03-08,149.2,39.8,2438.6,42.0,0.489,18.1,0.132,13.6,0.612,0.381,0.007,4811.2,3350.5,27.7,88.5,2543.7,3179.3,F07,37.0
KW-0357,Kimbala-0357,502383.65,784963.05,32632,Kimbala,B03-03,SW,Vertical,Producer,Oil,2021-08-15,2021-12-18,168.0,3.7,2563.0,66.0,0.365,22.6,0.145,212.8,0.506,0.457,0.037,2974.0,2974.0,,5.6,0.0,6136.3,F03,48.8
KW-0358,Kimbala-0358,519796.05,790455.87,32632,Kimbala,B04-06,NE,Deviated,DryHole,Dry,2024-03-10,2024-06-22,152.2,36.9,2535.1,63.8,0.457,29.1,0.147,11.2,0.474,0.476,0.051,2907.2,2907.2,164.1,54.9,869.5,2384.3,F06,41.9
KW-0359,Kimbala-0359,507149.59,778895.57,32632,Kimbala,B02-03,SW,Horizontal,Appraisal,Suspended,2019-01-10,2019-04-13,157.5,25.6,2727.2,37.6,0.397,11.3,0.122,68.5,0.648,0.3,0.052,4235.5,3702.9,166.2,82.3,1333.6,355.3,F04,38.4
KW-0360,Kimbala-0360,507363.32,775791.44,32632,Kimbala,B01-03,SW,Vertical,Appraisal,Suspended,2020-12-09,2021-03-21,138.7,19.2,2809.7,36.8,0.404,13.8,0.143,9.3,0.729,0.246,0.026,3267.9,3267.9,,6.5,0.0,710.1,F04,37.0
KW-0361,Kimbala-0361,520747.04,790748.97,32632,Kimbala,B04-06,NE,Vertical,Producer,Gas,2023-01-15,2023-06-08,126.2,57.2,2521.6,44.7,0.43,18.4,0.154,17.2,0.507,0.442,0.052,3234.4,3234.4,,5.7,0.0,1508.6,F06,41.8
KW-0362,Kimbala-0362,516292.19,789643.62,32632,Kimbala,B04-05,NE,Vertical,Producer,Oil,2024-08-23,2024-11-17,128.7,35.6,2507.7,53.4,0.427,17.8,0.155,20.0,0.447,0.479,0.075,3105.9,3105.9,,5.8,0.0,243.2,F05,42.3
KW-0363,Kimbala-0363,495659.02,783374.1,32632,Kimbala,B03-01,SW,Vertical,DryHole,Dry,2017-03-28,2017-08-10,129.3,22.2,2632.8,18.0,0.351,5.9,0.11,5.4,0.534,0.465,0.002,3024.8,3024.8,,5.1,0.0,579.2,F03,27.4
